MACKIN SCHOOL CUSTOMER CODE	SCHOOL CODE	MACKIN SCHOOL CODE	MACKIN SCHOOL NAME
32701	496	15244	A Z KELLEY ELEMENTARY
78467	422	37160	ACADEMY AT HICKORY HOLLOW
78466	211	37159	ACADEMY AT OLD COCKRILL
61810	613	26672	ACADEMY AT OPRY MILLS
32697	375	15245	ALEX GREEN ELEMENTARY
32702	105	15246	AMQUI ELEMENTARY
32703	460	15247	ANDREW JACKSON ELEMENTARY
32704	110	15248	ANTIOCH HIGH SCHOOL
32705	111	15249	ANTIOCH MIDDLE SCHOOL
32706	577	15250	APOLLO MIDDLE SCHOOL
21376	130	15252	BELLEVUE MIDDLE SCHOOL
32708	135	15253	BELLSHIRE ELEMENTARY
32711	755	6677	BUENA VISTA ELEMENTARY CLOSED
78464	419	37157	CAMBRIDGE EARLY LEARNING CENTER
30339	184	15258	CANE RIDGE ELEMENTARY
32714	182	15259	CANE RIDGE HIGH SCHOOL
32812	185	15260	CARTER LAWRENCE ELEMENTARY
78463	186	37156	CASA AZAFRAN EARLY LEARNING CENTER
32715	200	15261	CHADWELL ELEMENTARY
32716	205	15262	CHARLOTTE PARK ELEMENTARY
32717	784	15263	CHURCHWELL ELEMENTARY
32718	215	15264	COCKRILL ELEMENTARY
32719	225	15265	COLE ELEMENTARY
32720	448	15266	CORA HOWE SCHOOL
32721	783	15267	CRESWELL ARTS MIDDLE SCHOOL
32722	235	15268	CRIEVE HALL ELEMENTARY
32723	238	15270	CROFT MIDDLE SCHOOL
32724	240	15271	CUMBERLAND ELEMENTARY
32615	560	15273	DAN MILLS ELEMENTARY
32709	152	36005	DAVIS EARLY LEARNING CENTER
32725	252	15202	DODSON ELEMENTARY
24244	260	15274	DONELSON MIDDLE SCHOOL
32726	265	15275	DUPONT ELEMENTARY
32727	270	15276	DUPONT HADLEY MIDDLE SCHOOL
32728	275	15277	DUPONT TYLER MIDDLE SCHOOL
61262	278	25126	EAGLE VIEW ELEMENTARY
32888	280	15278	EAKIN ELEMENTARY
78465	562	37158	EARLY COLLEGE HIGH SCHOOL
32889	290	15279	EAST NASHVILLE HIGH SCHOOL
32890	296	15280	EAST NASHVILLE MIDDLE SCHOOL
32892	308	14893	FALL-HAMILTON ELEMENTARY
32893	315	15281	GATEWAY ELEMENTARY
32886	320	15282	GLENCLIFF ELEMENTARY
32894	325	15283	GLENCLIFF HIGH SCHOOL
32895	330	15284	GLENDALE ELEMENTARY
32887	335	15285	GLENGARRY ELEMENTARY
32896	585	30783	GLENN ELEMENTARY CLOSED
32897	345	15287	GLENVIEW ELEMENTARY
32898	350	15288	GOODLETTSVILLE ELEMENTARY
32899	355	15289	GOODLETTSVILLE MIDDLE SCHOOL
32901	360	15290	GOWER ELEMENTARY
32902	155	15291	GRA-MAR MIDDLE SCHOOL CLOSED
32903	370	15292	GRANBERY ELEMENTARY
32909	434	15293	H G HILL MIDDLE SCHOOL
13795	395	15294	HARPETH VALLEY ELEMENTARY
41441	397	15295	HARRIS-HILLMAN SCHOOL
32904	230	10204	HATTIE COTTON ELEMENTARY
32906	400	15296	HAYNES MIDDLE SCHOOL
32907	405	15297	HAYWOOD ELEMENTARY
32819	552	15300	HENRY MAXWELL ELEMENTARY
23324	415	15301	HERMITAGE ELEMENTARY
32908	420	15302	HICKMAN ELEMENTARY
32910	435	15303	HILLSBORO HIGH SCHOOL
32912	451	15305	HULL-JACKSON ELEMENTARY
32913	450	14891	HUME FOGG MAGNET HIGH SCHOOL
32914	452	15306	HUNTERS LANE HIGH SCHOOL
32712	175	15255	IDA B WELLS ELEMENTARY
63792	457	33979	INDEPENDENCE ACADEMY HIGH SCHOOL
32915	455	15307	INGLEWOOD ELEMENTARY
32916	498	15308	J F KENNEDY MIDDLE SCHOOL
32917	563	15309	J T MOORE MIDDLE SCHOOL
32911	445	15304	JAMES LAWSON HIGH SCHOOL
30948	120	15310	JERE BAXTER MIDDLE SCHOOL
32733	465	15311	JOELTON ELEMENTARY
32805	465	15311	JOELTON MIDDLE SCHOOL CLOSED
32806	285	15313	JOHN EARLY MIDDLE SCHOOL
32807	480	15315	JOHNSON LEARNING CENTER
32808	485	15316	JONES PAIDEIA MAGNET ELEMENTARY
32809	380	15317	JULIA GREEN ELEMENTARY
32811	122	15319	LAKEVIEW ELEMENTARY
32713	181	15257	LEAD CAMERON COLLEGE PREP
32862	755	15320	LILLIARD ELEMENTARY CLOSED
32813	510	15321	LITTON MIDDLE SCHOOL
32814	520	15322	LOCKELAND ELEMENTARY
32815	545	15323	MADISON MIDDLE SCHOOL
32816	550	15324	MAPLEWOOD HIGH SCHOOL
32817	100	15325	MARGARET ALLEN MIDDLE SCHOOL
32818	551	15326	MARSHALL MIDDLE SCHOOL
32842	497	15327	MARTIN LUTHER KING JR MAGNET HIGH SCHOOL
40587	655	15328	MARTIN PROFESSIONAL DEVELOPMENT CENTER
32820	530	15329	MCGAVOCK ELEMENTARY
32821	532	15330	MCGAVOCK HIGH SCHOOL
